hobo_id	tstamp	value
10132405	2019-12-19 12:00:00	12.19
10132405	2019-12-19 13:00:00	12.915
10132405	2019-12-19 14:00:00	12.126
10132405	2019-12-19 15:00:00	10.671
10132405	2019-12-19 16:00:00	10.367
10132405	2019-12-19 17:00:00	9.911
10132405	2019-12-19 18:00:00	11.051
10132405	2019-12-19 19:00:00	8.923
10132405	2019-12-19 20:00:00	9.224
10132405	2019-12-19 21:00:00	8.239
10132405	2019-12-19 22:00:00	7.479
10132405	2019-12-19 23:00:00	7.403
10132405	2019-12-20 00:00:00	6.64
10132405	2019-12-20 01:00:00	8.33
10132405	2019-12-20 02:00:00	7.783
10132405	2019-12-20 03:00:00	4.97
10132405	2019-12-20 04:00:00	5.046
10132405	2019-12-20 05:00:00	3.349
10132405	2019-12-20 06:00:00	5.122
10132405	2019-12-20 07:00:00	6.034
10132405	2019-12-20 08:00:00	5.654
10132405	2019-12-20 09:00:00	4.091
10132405	2019-12-20 10:00:00	8.198
10132405	2019-12-20 11:00:00	9.108
10132405	2019-12-20 12:00:00	9.188
10132405	2019-12-20 13:00:00	7.112
10132405	2019-12-20 14:00:00	9.379
10132405	2019-12-20 15:00:00	10.899
10132405	2019-12-20 16:00:00	10.443
10132405	2019-12-20 17:00:00	9.911
10132405	2019-12-20 18:00:00	9.379
10132405	2019-12-20 19:00:00	9.075
10132405	2019-12-20 20:00:00	8.923
10132405	2019-12-20 21:00:00	9.227
10132405	2019-12-20 22:00:00	9.151
10132405	2019-12-20 23:00:00	7.849
10132405	2019-12-21 00:00:00	7.935
10132405	2019-12-21 01:00:00	8.391
10132405	2019-12-21 02:00:00	8.315
10132405	2019-12-21 03:00:00	8.163
10132405	2019-12-21 04:00:00	7.555
10132405	2019-12-21 05:00:00	7.555
10132405	2019-12-21 06:00:00	6.947
10132405	2019-12-21 07:00:00	6.947
10132405	2019-12-21 08:00:00	6.567
10132405	2019-12-21 09:00:00	7.099
10132405	2019-12-21 10:00:00	7.935
10132405	2019-12-21 11:00:00	9.531
10132405	2019-12-21 12:00:00	9.835
10132405	2019-12-21 13:00:00	9.911
10132405	2019-12-21 14:00:00	9.242
10132405	2019-12-21 15:00:00	8.763
10132405	2019-12-21 16:00:00	9.075
10132405	2019-12-21 17:00:00	7.43
10132405	2019-12-21 18:00:00	6.42
10132405	2019-12-21 19:00:00	7.555
10132405	2019-12-21 20:00:00	7.935
10132405	2019-12-21 21:00:00	8.315
10132405	2019-12-21 22:00:00	6.947
10132405	2019-12-21 23:00:00	6.301
10132405	2019-12-22 00:00:00	8.347
10132405	2019-12-22 01:00:00	10.443
10132405	2019-12-22 02:00:00	10.747
10132405	2019-12-22 03:00:00	10.747
10132405	2019-12-22 04:00:00	10.595
10132405	2019-12-22 05:00:00	10.519
10132405	2019-12-22 06:00:00	10.899
10132405	2019-12-22 07:00:00	10.595
10132405	2019-12-22 08:00:00	10.226
10132405	2019-12-22 09:00:00	9.911
10132405	2019-12-22 10:00:00	9.981
10132405	2019-12-22 11:00:00	10.215
10132405	2019-12-22 12:00:00	9.987
10132405	2019-12-22 13:00:00	9.835
10132405	2019-12-22 14:00:00	9.303
10132405	2019-12-22 15:00:00	9.531
10132405	2019-12-22 16:00:00	9.151
10132405	2019-12-22 17:00:00	8.923
10132405	2019-12-22 18:00:00	8.619
10132405	2019-12-22 19:00:00	8.771
10132405	2019-12-22 20:00:00	8.847
10132405	2019-12-22 21:00:00	8.923
10132405	2019-12-22 22:00:00	8.087
10132405	2019-12-22 23:00:00	8.391
10132405	2019-12-23 00:00:00	8.087
10132405	2019-12-23 01:00:00	8.087
10132405	2019-12-23 02:00:00	8.011
10132405	2019-12-23 03:00:00	8.087
10132405	2019-12-23 04:00:00	8.163
